Full Name,Birth Date (YYYY-MM-DD),Birth City,Birth State/Province (if applicable),Birth Country,Primary Profession,Primary Research Area,Major Contribution
Harold Andersen 58,1948-12-17,Dubai,,United Arab Emirates,Global Freight Expert,Global Supply Chain Optimization & Export Logistics,Multimodal Freight Interconnectivity and Port Logistics
Clara Henderson 59,1931-07-27,Hong Kong,,China,Export Trade Strategist,Urban Mobility & Ride-Hailing Network Economics,High-Performance B2B Sales Methodologies and Key Account Management
Xavier Johnson 60,1921-08-23,Montreal,Quebec,Canada,Supply Chain Researcher,Urban Mobility & Ride-Hailing Network Economics,Dynamic Route Optimization for Express Parcel Delivery
Zoe Nelson 61,1979-02-21,Singapore,,Singapore,Ride-Hailing Innovator,Urban Mobility & Ride-Hailing Network Economics,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Olga Davies 62,1903-11-08,Montreal,Quebec,Canada,Logistics Pioneer,Global Supply Chain Optimization & Export Logistics,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Grace Peters 63,1905-12-27,Shanghai,,China,Global Freight Expert,Global Supply Chain Optimization & Export Logistics,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Zachary Larson 64,1953-02-10,Chicago,Illinois,United States,Export Trade Strategist,Freight Forwarding & Maritime Transport Management,Dynamic Route Optimization for Express Parcel Delivery
Teresa Ellis 65,1945-01-24,Toronto,Ontario,Canada,Transport & Export Executive,B2B Commercial Sales Strategy & Distribution Networks,High-Performance B2B Sales Methodologies and Key Account Management
Teresa Zimmermann 66,1976-10-15,Antwerp,,Belgium,Transportation Economist,B2B Commercial Sales Strategy & Distribution Networks,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Ulysses Roberts 67,1979-01-09,Antwerp,,Belgium,Sales Leadership Pioneer,Urban Mobility & Ride-Hailing Network Economics,Enterprise Sales Force Automation and Channel Distribution Models
Brenda Abbott 68,1941-06-08,Shanghai,,China,Sales Leadership Pioneer,Urban Mobility & Ride-Hailing Network Economics,High-Performance B2B Sales Methodologies and Key Account Management
Charles Turner 69,1928-06-18,Chicago,Illinois,United States,Delivery Network Strategist,Freight Forwarding & Maritime Transport Management,Enterprise Sales Force Automation and Channel Distribution Models
Zoe Jensen 70,1946-11-19,Dubai,,United Arab Emirates,Supply Chain Researcher,Customer Acquisition & High-Volume Sales Leadership,Containerized Freight Standardization and Global Trade Expansion
Thomas Evans 71,1949-02-09,Dubai,,United Arab Emirates,Supply Chain Researcher,Global Supply Chain Optimization & Export Logistics,Dynamic Route Optimization for Express Parcel Delivery
Walter Johnson 72,1940-10-18,Paris,,France,Ride-Hailing Innovator,Global Supply Chain Optimization & Export Logistics,Dynamic Route Optimization for Express Parcel Delivery
Patrick Harris 73,1981-12-16,Shanghai,,China,Sales Leadership Pioneer,B2B Commercial Sales Strategy & Distribution Networks,High-Performance B2B Sales Methodologies and Key Account Management
Martin Baker 74,1920-10-14,Montreal,Quebec,Canada,Logistics Pioneer,Last-Mile Delivery Innovation & Autonomous Transit,Enterprise Sales Force Automation and Channel Distribution Models
Martin Dixon 75,1961-04-24,Dubai,,United Arab Emirates,Commercial Sales Director,Global Supply Chain Optimization & Export Logistics,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Martin Newman 76,1905-04-28,Seattle,Washington,United States,Commercial Sales Director,B2B Commercial Sales Strategy & Distribution Networks,Containerized Freight Standardization and Global Trade Expansion
Irene Gibson 77,1912-09-22,Tokyo,,Japan,Delivery Network Strategist,Customer Acquisition & High-Volume Sales Leadership,High-Performance B2B Sales Methodologies and Key Account Management
Sandra Gibson 78,1972-05-03,Panama City,,Panama,Transport & Export Executive,Freight Forwarding & Maritime Transport Management,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Oscar Lewis 79,1963-03-15,Chicago,Illinois,United States,Transportation Economist,Last-Mile Delivery Innovation & Autonomous Transit,High-Performance B2B Sales Methodologies and Key Account Management
Martin Miller 80,1970-11-22,Sydney,New South Wales,Australia,Transport & Export Executive,Urban Mobility & Ride-Hailing Network Economics,Dynamic Route Optimization for Express Parcel Delivery
Alice Wong 81,1913-06-18,Dubai,,United Arab Emirates,Supply Chain Researcher,Freight Forwarding & Maritime Transport Management,Enterprise Sales Force Automation and Channel Distribution Models
Karl Ingram 82,1924-07-24,San Francisco,California,United States,Transportation Economist,Urban Mobility & Ride-Hailing Network Economics,Dynamic Route Optimization for Express Parcel Delivery
Norman Russell 83,1928-10-15,San Francisco,California,United States,Transportation Economist,Urban Mobility & Ride-Hailing Network Economics,Dynamic Route Optimization for Express Parcel Delivery
Martin Cole 84,1970-12-05,Singapore,,Singapore,Sales Leadership Pioneer,B2B Commercial Sales Strategy & Distribution Networks,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Louis Young 85,1921-11-22,Dubai,,United Arab Emirates,Logistics Pioneer,Last-Mile Delivery Innovation & Autonomous Transit,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Arthur Cole 86,1922-11-21,Antwerp,,Belgium,Cab Service Founder,Last-Mile Delivery Innovation & Autonomous Transit,High-Performance B2B Sales Methodologies and Key Account Management
Arthur Lewis 87,1922-03-19,Toronto,Ontario,Canada,Sales Leadership Pioneer,Customer Acquisition & High-Volume Sales Leadership,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Olga Tanaka 88,1979-01-16,Chicago,Illinois,United States,Delivery Network Strategist,B2B Commercial Sales Strategy & Distribution Networks,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Harold Ellis 89,1912-12-13,Rotterdam,,Netherlands,Delivery Network Strategist,Last-Mile Delivery Innovation & Autonomous Transit,High-Performance B2B Sales Methodologies and Key Account Management
Martin Taylor 90,1908-12-20,Toronto,Ontario,Canada,Logistics Pioneer,Urban Mobility & Ride-Hailing Network Economics,Containerized Freight Standardization and Global Trade Expansion
Alice Phillips 91,1900-12-09,Zurich,,Switzerland,Ride-Hailing Innovator,Last-Mile Delivery Innovation & Autonomous Transit,Enterprise Sales Force Automation and Channel Distribution Models
James Morgan 92,1969-07-13,New York City,New York,United States,Transportation Economist,B2B Commercial Sales Strategy & Distribution Networks,Enterprise Sales Force Automation and Channel Distribution Models
Karl Lewis 93,1960-07-15,New York City,New York,United States,Supply Chain Researcher,Global Supply Chain Optimization & Export Logistics,High-Performance B2B Sales Methodologies and Key Account Management
Wendy King 94,1914-01-18,New York City,New York,United States,Export Trade Strategist,Urban Mobility & Ride-Hailing Network Economics,High-Performance B2B Sales Methodologies and Key Account Management
James Zimmermann 95,1928-06-15,Rotterdam,,Netherlands,Supply Chain Researcher,Freight Forwarding & Maritime Transport Management,High-Performance B2B Sales Methodologies and Key Account Management
Stanley Smith 96,1924-07-22,Singapore,,Singapore,Cab Service Founder,Customer Acquisition & High-Volume Sales Leadership,Enterprise Sales Force Automation and Channel Distribution Models
Clara White 97,1913-10-25,Montreal,Quebec,Canada,Export Trade Strategist,Last-Mile Delivery Innovation & Autonomous Transit,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
George King 98,1980-11-21,Rotterdam,,Netherlands,Delivery Network Strategist,Urban Mobility & Ride-Hailing Network Economics,Multimodal Freight Interconnectivity and Port Logistics
Valerie Quinn 99,1917-09-23,Seattle,Washington,United States,Logistics Pioneer,Last-Mile Delivery Innovation & Autonomous Transit,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Paula Miller 100,1930-05-21,Los Angeles,California,United States,Delivery Network Strategist,B2B Commercial Sales Strategy & Distribution Networks,Enterprise Sales Force Automation and Channel Distribution Models
Charles Cole 101,1915-06-06,Los Angeles,California,United States,Last-Mile Delivery Specialist,Urban Mobility & Ride-Hailing Network Economics,Containerized Freight Standardization and Global Trade Expansion
Rachel King 102,1960-11-10,Sydney,New South Wales,Australia,Logistics Pioneer,Last-Mile Delivery Innovation & Autonomous Transit,Containerized Freight Standardization and Global Trade Expansion
Zoe King 103,1980-09-03,Toronto,Ontario,Canada,Cab Service Founder,Urban Mobility & Ride-Hailing Network Economics,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Yvonne Dixon 104,1970-04-02,Shanghai,,China,Logistics Pioneer,Freight Forwarding & Maritime Transport Management,Multimodal Freight Interconnectivity and Port Logistics
Alice Nelson 105,1975-03-03,Panama City,,Panama,Sales Leadership Pioneer,Last-Mile Delivery Innovation & Autonomous Transit,High-Performance B2B Sales Methodologies and Key Account Management
Martin Gibson 106,1927-06-21,New York City,New York,United States,Logistics Pioneer,B2B Commercial Sales Strategy & Distribution Networks,Enterprise Sales Force Automation and Channel Distribution Models
Quentin Vance 107,1905-08-02,Singapore,,Singapore,Logistics Pioneer,Freight Forwarding & Maritime Transport Management,Dynamic Route Optimization for Express Parcel Delivery
Victor Abbott 108,1966-11-21,Toronto,Ontario,Canada,Delivery Network Strategist,Urban Mobility & Ride-Hailing Network Economics,Dynamic Route Optimization for Express Parcel Delivery
Walter White 109,1901-11-06,Dubai,,United Arab Emirates,Export Trade Strategist,Urban Mobility & Ride-Hailing Network Economics,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Valerie Fisher 110,1973-08-27,Los Angeles,California,United States,Transport & Export Executive,Customer Acquisition & High-Volume Sales Leadership,Containerized Freight Standardization and Global Trade Expansion
Fiona Gibson 111,1919-03-22,London,,United Kingdom,Supply Chain Researcher,Customer Acquisition & High-Volume Sales Leadership,Enterprise Sales Force Automation and Channel Distribution Models
Teresa Turner 112,1981-06-19,Sydney,New South Wales,Australia,Supply Chain Researcher,B2B Commercial Sales Strategy & Distribution Networks,Multimodal Freight Interconnectivity and Port Logistics
Richard Vaughan 113,1944-05-14,Chicago,Illinois,United States,Export Trade Strategist,Global Supply Chain Optimization & Export Logistics,High-Performance B2B Sales Methodologies and Key Account Management
Quentin Owens 114,1961-01-02,New York City,New York,United States,Cab Service Founder,B2B Commercial Sales Strategy & Distribution Networks,Dynamic Route Optimization for Express Parcel Delivery
Hannah Patel 115,1947-04-05,New York City,New York,United States,Supply Chain Researcher,Customer Acquisition & High-Volume Sales Leadership,Dynamic Route Optimization for Express Parcel Delivery
Charles Russell 116,1936-03-02,San Francisco,California,United States,Delivery Network Strategist,Customer Acquisition & High-Volume Sales Leadership,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Zachary Patel 117,1941-12-23,Montreal,Quebec,Canada,Cab Service Founder,B2B Commercial Sales Strategy & Distribution Networks,Enterprise Sales Force Automation and Channel Distribution Models
Thomas Young 118,1929-09-17,Antwerp,,Belgium,Global Freight Expert,B2B Commercial Sales Strategy & Distribution Networks,Dynamic Route Optimization for Express Parcel Delivery
Ignacio Wong 119,1937-10-08,Antwerp,,Belgium,Cab Service Founder,Last-Mile Delivery Innovation & Autonomous Transit,Dynamic Route Optimization for Express Parcel Delivery
Norman Phillips 120,1902-08-13,Dubai,,United Arab Emirates,Cab Service Founder,B2B Commercial Sales Strategy & Distribution Networks,High-Performance B2B Sales Methodologies and Key Account Management
Diana Evans 121,1961-02-20,Panama City,,Panama,Logistics Pioneer,Urban Mobility & Ride-Hailing Network Economics,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Valerie Wong 122,1958-06-22,Chicago,Illinois,United States,Last-Mile Delivery Specialist,Freight Forwarding & Maritime Transport Management,Containerized Freight Standardization and Global Trade Expansion
Teresa Dixon 123,1946-12-20,Rotterdam,,Netherlands,Sales Leadership Pioneer,Last-Mile Delivery Innovation & Autonomous Transit,Enterprise Sales Force Automation and Channel Distribution Models
Arthur O'Connor 124,1960-04-02,Hamburg,,Germany,Commercial Sales Director,Freight Forwarding & Maritime Transport Management,Dynamic Route Optimization for Express Parcel Delivery
Arthur Newman 125,1944-04-24,Seattle,Washington,United States,Ride-Hailing Innovator,Urban Mobility & Ride-Hailing Network Economics,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Frank Wong 126,1972-10-16,Hong Kong,,China,Delivery Network Strategist,Last-Mile Delivery Innovation & Autonomous Transit,Enterprise Sales Force Automation and Channel Distribution Models
Walter Harris 127,1953-06-12,Dubai,,United Arab Emirates,Global Freight Expert,Last-Mile Delivery Innovation & Autonomous Transit,Dynamic Route Optimization for Express Parcel Delivery
Diana Larson 128,1958-10-23,Seattle,Washington,United States,Cab Service Founder,Urban Mobility & Ride-Hailing Network Economics,High-Performance B2B Sales Methodologies and Key Account Management
Thomas Peters 129,1964-12-22,Antwerp,,Belgium,Last-Mile Delivery Specialist,B2B Commercial Sales Strategy & Distribution Networks,Containerized Freight Standardization and Global Trade Expansion
Thomas Jensen 130,1924-12-28,Seattle,Washington,United States,Commercial Sales Director,Global Supply Chain Optimization & Export Logistics,Multimodal Freight Interconnectivity and Port Logistics
Oscar Peters 131,1951-09-17,Panama City,,Panama,Commercial Sales Director,Global Supply Chain Optimization & Export Logistics,Enterprise Sales Force Automation and Channel Distribution Models
Wendy Gibson 132,1933-10-01,Toronto,Ontario,Canada,Export Trade Strategist,Customer Acquisition & High-Volume Sales Leadership,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Valerie Evans 133,1914-12-14,Seattle,Washington,United States,Transportation Economist,Freight Forwarding & Maritime Transport Management,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Irene Iversen 134,1935-08-06,Montreal,Quebec,Canada,Delivery Network Strategist,Freight Forwarding & Maritime Transport Management,Multimodal Freight Interconnectivity and Port Logistics
Wendy Turner 135,1926-12-02,Rotterdam,,Netherlands,Sales Leadership Pioneer,B2B Commercial Sales Strategy & Distribution Networks,Multimodal Freight Interconnectivity and Port Logistics
Martin Smith 136,1909-03-01,Shanghai,,China,Delivery Network Strategist,Last-Mile Delivery Innovation & Autonomous Transit,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Wendy Turner 137,1975-11-26,Sydney,New South Wales,Australia,Global Freight Expert,Customer Acquisition & High-Volume Sales Leadership,Containerized Freight Standardization and Global Trade Expansion
Kenji Russell 138,1957-01-10,Shanghai,,China,Supply Chain Researcher,Global Supply Chain Optimization & Export Logistics,Multimodal Freight Interconnectivity and Port Logistics
Alice Davies 139,1901-12-20,Paris,,France,Delivery Network Strategist,Last-Mile Delivery Innovation & Autonomous Transit,Multimodal Freight Interconnectivity and Port Logistics
Sandra Foster 140,1909-12-12,London,,United Kingdom,Delivery Network Strategist,Global Supply Chain Optimization & Export Logistics,Enterprise Sales Force Automation and Channel Distribution Models
George Ellis 141,1978-11-26,Zurich,,Switzerland,Commercial Sales Director,Last-Mile Delivery Innovation & Autonomous Transit,Multimodal Freight Interconnectivity and Port Logistics
Fiona Russell 142,1912-05-02,Antwerp,,Belgium,Delivery Network Strategist,Customer Acquisition & High-Volume Sales Leadership,Multimodal Freight Interconnectivity and Port Logistics
Stanley Russell 143,1979-10-26,Los Angeles,California,United States,Commercial Sales Director,Global Supply Chain Optimization & Export Logistics,Dynamic Route Optimization for Express Parcel Delivery
Yuri Smith 144,1919-02-08,Singapore,,Singapore,Sales Leadership Pioneer,B2B Commercial Sales Strategy & Distribution Networks,Enterprise Sales Force Automation and Channel Distribution Models
Martin Morgan 145,1922-07-21,Singapore,,Singapore,Transportation Economist,Global Supply Chain Optimization & Export Logistics,Enterprise Sales Force Automation and Channel Distribution Models
Diana Phillips 146,1958-05-14,Sydney,New South Wales,Australia,Ride-Hailing Innovator,Customer Acquisition & High-Volume Sales Leadership,Enterprise Sales Force Automation and Channel Distribution Models
Karen White 147,1902-03-21,Sydney,New South Wales,Australia,Last-Mile Delivery Specialist,Urban Mobility & Ride-Hailing Network Economics,Enterprise Sales Force Automation and Channel Distribution Models
Stanley Quinn 148,1926-06-15,Chicago,Illinois,United States,Export Trade Strategist,Customer Acquisition & High-Volume Sales Leadership,Enterprise Sales Force Automation and Channel Distribution Models
Sandra Nelson 149,1920-11-20,Hamburg,,Germany,Transport & Export Executive,Last-Mile Delivery Innovation & Autonomous Transit,Containerized Freight Standardization and Global Trade Expansion
Hannah Harris 150,1911-11-19,Seattle,Washington,United States,Commercial Sales Director,Last-Mile Delivery Innovation & Autonomous Transit,High-Performance B2B Sales Methodologies and Key Account Management
Yvonne Young 151,1958-02-24,Rotterdam,,Netherlands,Transport & Export Executive,Freight Forwarding & Maritime Transport Management,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Evelyn Gibson 152,1978-05-09,Hamburg,,Germany,Supply Chain Researcher,B2B Commercial Sales Strategy & Distribution Networks,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Louis Abbott 153,1932-05-10,Tokyo,,Japan,Last-Mile Delivery Specialist,Last-Mile Delivery Innovation & Autonomous Transit,High-Performance B2B Sales Methodologies and Key Account Management
Monica Sutton 154,1962-12-13,Paris,,France,Export Trade Strategist,Freight Forwarding & Maritime Transport Management,Multimodal Freight Interconnectivity and Port Logistics
Yvonne Phillips 155,1955-02-09,New York City,New York,United States,Ride-Hailing Innovator,B2B Commercial Sales Strategy & Distribution Networks,Containerized Freight Standardization and Global Trade Expansion
Monica Walker 156,1901-09-13,Singapore,,Singapore,Supply Chain Researcher,Freight Forwarding & Maritime Transport Management,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Irene Foster 157,1916-06-20,Rotterdam,,Netherlands,Transport & Export Executive,Global Supply Chain Optimization & Export Logistics,On-Demand Dispatch Algorithms and Urban Cab Service Scaling
Norman Roberts 158,1916-10-11,Seattle,Washington,United States,Supply Chain Researcher,Customer Acquisition & High-Volume Sales Leadership,High-Performance B2B Sales Methodologies and Key Account Management
Grace Evans 159,1981-08-05,New York City,New York,United States,Supply Chain Researcher,B2B Commercial Sales Strategy & Distribution Networks,Containerized Freight Standardization and Global Trade Expansion
Nora Foster 160,1927-11-16,Toronto,Ontario,Canada,Supply Chain Researcher,Customer Acquisition & High-Volume Sales Leadership,Dynamic Route Optimization for Express Parcel Delivery
